survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,20.0,0,0,7.8542,s,third,man,True,,southampton,no,True
0,1,male,46.0,1,0,61.175,s,first,man,True,e,southampton,no,False
0,3,male,26.0,1,2,20.575,s,third,man,True,,southampton,no,False
0,3,male,59.0,0,0,7.25,s,third,man,True,,southampton,no,True
0,1,male,71.0,0,0,34.6542,c,first,man,True,a,cherbourg,no,True
1,1,male,23.0,0,1,63.3583,c,first,man,True,d,cherbourg,yes,False
1,2,female,34.0,0,1,23.0,s,second,woman,False,,southampton,yes,False
0,2,male,34.0,1,0,26.0,s,second,man,True,,southampton,no,False
0,3,female,28.0,0,0,7.8958,s,third,woman,False,,southampton,no,True
0,1,male,21.0,0,1,77.2875,s,first,man,True,d,southampton,no,False
0,3,male,33.0,0,0,8.6542,s,third,man,True,,southampton,no,True
0,3,male,37.0,2,0,7.925,s,third,man,True,,southampton,no,False
0,3,male,28.0,0,0,7.8958,s,third,man,True,,southampton,no,True
1,3,female,21.0,0,0,7.65,s,third,woman,False,,southampton,yes,True
1,3,male,29.69911764705882,0,0,7.775,s,third,man,True,,southampton,yes,True
0,3,male,38.0,0,0,7.8958,s,third,man,True,,southampton,no,True
1,3,female,29.69911764705882,1,0,24.15,q,third,woman,False,,queenstown,yes,False
0,1,male,47.0,0,0,52.0,s,first,man,True,c,southampton,no,True
0,3,female,14.5,1,0,14.4542,c,third,child,False,,cherbourg,no,False
0,3,male,22.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,female,20.0,1,0,9.825,s,third,woman,False,,southampton,no,False
0,3,female,17.0,0,0,14.4583,c,third,woman,False,,cherbourg,no,True
0,3,male,21.0,0,0,7.925,s,third,man,True,,southampton,no,True
0,3,male,70.5,0,0,7.75,q,third,man,True,,queenstown,no,True
0,2,male,29.0,1,0,21.0,s,second,man,True,,southampton,no,False
0,1,male,24.0,0,1,247.5208,c,first,man,True,b,cherbourg,no,False
0,3,female,2.0,4,2,31.275,s,third,child,False,,southampton,no,False
0,2,male,21.0,2,0,73.5,s,second,man,True,,southampton,no,False
0,2,male,32.5,1,0,30.0708,c,second,man,True,,cherbourg,no,False
1,2,female,32.5,0,0,13.0,s,second,woman,False,e,southampton,yes,True
0,1,male,54.0,0,1,77.2875,s,first,man,True,d,southampton,no,False
1,3,male,12.0,1,0,11.2417,c,third,child,False,,cherbourg,yes,False
0,3,male,29.69911764705882,0,0,7.75,q,third,man,True,,queenstown,no,True
1,3,male,24.0,0,0,7.1417,s,third,man,True,,southampton,yes,True
1,3,female,29.69911764705882,1,1,22.3583,c,third,woman,False,f,cherbourg,yes,False
0,3,male,45.0,0,0,6.975,s,third,man,True,,southampton,no,True
0,3,male,33.0,0,0,7.8958,c,third,man,True,,cherbourg,no,True
0,3,male,20.0,0,0,7.05,s,third,man,True,,southampton,no,True
0,3,female,47.0,1,0,14.5,s,third,woman,False,,southampton,no,False
0,2,male,25.0,0,0,13.0,s,second,man,True,,southampton,no,True
0,2,male,23.0,0,0,15.0458,c,second,man,True,,cherbourg,no,True
1,1,female,19.0,0,2,26.2833,s,first,woman,False,d,southampton,yes,False
0,1,male,37.0,1,0,53.1,s,first,man,True,c,southampton,no,False
0,3,male,16.0,0,0,9.2167,s,third,man,True,,southampton,no,True
0,1,male,24.0,0,0,79.2,c,first,man,True,b,cherbourg,no,True
0,3,female,29.69911764705882,0,2,15.2458,c,third,woman,False,,cherbourg,no,False
1,3,female,22.0,0,0,7.75,s,third,woman,False,,southampton,yes,True
1,3,female,24.0,1,0,15.85,s,third,woman,False,,southampton,yes,False
0,3,male,19.0,0,0,6.75,q,third,man,True,,queenstown,no,True
0,2,male,18.0,0,0,11.5,s,second,man,True,,southampton,no,True
0,2,male,19.0,1,1,36.75,s,second,man,True,,southampton,no,False
1,3,male,27.0,0,0,7.7958,s,third,man,True,,southampton,yes,True
0,3,female,9.0,2,2,34.375,s,third,child,False,,southampton,no,False
0,2,male,36.5,0,2,26.0,s,second,man,True,f,southampton,no,False
0,2,male,42.0,0,0,13.0,s,second,man,True,,southampton,no,True
0,2,male,51.0,0,0,12.525,s,second,man,True,,southampton,no,True
1,1,female,22.0,1,0,66.6,s,first,woman,False,c,southampton,yes,False
0,3,male,55.5,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,male,40.5,0,2,14.5,s,third,man,True,,southampton,no,False
0,3,male,29.69911764705882,0,0,7.3125,s,third,man,True,,southampton,no,True
0,1,male,51.0,0,1,61.3792,c,first,man,True,,cherbourg,no,False
1,3,female,16.0,0,0,7.7333,q,third,woman,False,,queenstown,yes,True
0,3,male,30.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,male,29.69911764705882,0,0,8.6625,s,third,man,True,,southampton,no,True
0,3,male,29.69911764705882,8,2,69.55,s,third,man,True,,southampton,no,False
0,3,male,44.0,0,1,16.1,s,third,man,True,,southampton,no,False
1,2,female,40.0,0,0,15.75,s,second,woman,False,,southampton,yes,True
0,3,male,26.0,0,0,7.775,s,third,man,True,,southampton,no,True
0,3,male,17.0,0,0,8.6625,s,third,man,True,,southampton,no,True
0,3,male,1.0,4,1,39.6875,s,third,child,False,,southampton,no,False
1,3,male,9.0,0,2,20.525,s,third,child,False,,southampton,yes,False
1,1,female,29.69911764705882,0,1,55.0,s,first,woman,False,e,southampton,yes,False
0,3,female,45.0,1,4,27.9,s,third,woman,False,,southampton,no,False
0,1,male,29.69911764705882,0,0,25.925,s,first,man,True,,southampton,no,True
0,3,male,28.0,0,0,56.4958,s,third,man,True,,southampton,no,True
0,1,male,61.0,0,0,33.5,s,first,man,True,b,southampton,no,True
0,3,male,4.0,4,1,29.125,q,third,child,False,,queenstown,no,False
1,3,female,1.0,1,1,11.1333,s,third,child,False,,southampton,yes,False
0,1,male,56.0,0,0,30.6958,c,first,man,True,a,cherbourg,no,True
0,3,male,18.0,1,1,7.8542,s,third,man,True,,southampton,no,False
0,3,male,29.69911764705882,3,1,25.4667,s,third,man,True,,southampton,no,False
0,1,female,50.0,0,0,28.7125,c,first,woman,False,c,cherbourg,no,True
0,2,male,30.0,0,0,13.0,s,second,man,True,,southampton,no,True
0,3,male,36.0,0,0,0.0,s,third,man,True,,southampton,no,True
0,3,female,29.69911764705882,8,2,69.55,s,third,woman,False,,southampton,no,False
0,2,male,29.69911764705882,0,0,15.05,c,second,man,True,,cherbourg,no,True
0,3,male,9.0,4,2,31.3875,s,third,child,False,,southampton,no,False
1,2,male,1.0,2,1,39.0,s,second,child,False,f,southampton,yes,False
1,3,female,4.0,0,2,22.025,s,third,child,False,,southampton,yes,False
0,1,male,29.69911764705882,0,0,50.0,s,first,man,True,a,southampton,no,True
1,3,female,29.69911764705882,1,0,15.5,q,third,woman,False,,queenstown,yes,False
1,1,male,45.0,0,0,26.55,s,first,man,True,,southampton,yes,True
0,3,male,40.0,1,1,15.5,q,third,man,True,,queenstown,no,False
0,3,male,36.0,0,0,7.8958,s,third,man,True,,southampton,no,True
1,2,female,32.0,0,0,13.0,s,second,woman,False,,southampton,yes,True
0,2,male,19.0,0,0,13.0,s,second,man,True,,southampton,no,True
1,3,female,19.0,1,0,7.8542,s,third,woman,False,,southampton,yes,False
1,2,male,3.0,1,1,26.0,s,second,child,False,f,southampton,yes,False
1,1,female,44.0,0,0,27.7208,c,first,woman,False,b,cherbourg,yes,True
1,1,female,58.0,0,0,146.5208,c,first,woman,False,b,cherbourg,yes,True
0,3,male,42.0,0,1,8.4042,s,third,man,True,,southampton,no,False
0,2,female,24.0,0,0,13.0,s,second,woman,False,,southampton,no,True
0,3,male,28.0,0,0,9.5,s,third,man,True,,southampton,no,True
0,3,male,34.0,0,0,6.4958,s,third,man,True,,southampton,no,True
0,3,male,45.5,0,0,7.225,c,third,man,True,,cherbourg,no,True
1,3,male,18.0,0,0,8.05,s,third,man,True,,southampton,yes,True
0,3,female,2.0,0,1,10.4625,s,third,child,False,g,southampton,no,False
0,3,male,32.0,1,0,15.85,s,third,man,True,,southampton,no,False
1,3,male,26.0,0,0,18.7875,c,third,man,True,,cherbourg,yes,True
1,3,female,16.0,0,0,7.75,q,third,woman,False,,queenstown,yes,True
1,1,male,40.0,0,0,31.0,c,first,man,True,a,cherbourg,yes,True
0,3,male,24.0,0,0,7.05,s,third,man,True,,southampton,no,True
1,2,female,35.0,0,0,21.0,s,second,woman,False,,southampton,yes,True
0,3,male,22.0,0,0,7.25,s,third,man,True,,southampton,no,True
0,3,male,29.69911764705882,1,0,7.75,q,third,man,True,,queenstown,no,False
1,1,female,31.0,1,0,113.275,c,first,woman,False,d,cherbourg,yes,False
1,3,female,27.0,0,0,7.925,s,third,woman,False,,southampton,yes,True
0,2,male,42.0,1,0,27.0,s,second,man,True,,southampton,no,False
1,1,female,32.0,0,0,76.2917,c,first,woman,False,d,cherbourg,yes,True
0,2,male,30.0,0,0,10.5,s,second,man,True,,southampton,no,True
1,3,male,16.0,0,0,8.05,s,third,man,True,,southampton,yes,True
0,2,male,27.0,0,0,13.0,s,second,man,True,,southampton,no,True
0,3,male,51.0,0,0,8.05,s,third,man,True,,southampton,no,True
1,1,male,38.0,1,0,90.0,s,first,man,True,c,southampton,yes,False
0,3,male,22.0,0,0,9.35,s,third,man,True,,southampton,no,True
1,2,male,19.0,0,0,10.5,s,second,man,True,,southampton,yes,True
0,3,male,20.5,0,0,7.25,s,third,man,True,,southampton,no,True
0,2,male,18.0,0,0,13.0,s,second,man,True,,southampton,no,True
0,3,female,29.69911764705882,3,1,25.4667,s,third,woman,False,,southampton,no,False
1,1,female,35.0,1,0,83.475,s,first,woman,False,c,southampton,yes,False
0,3,male,29.0,0,0,7.775,s,third,man,True,,southampton,no,True
0,2,male,59.0,0,0,13.5,s,second,man,True,,southampton,no,True
1,3,female,5.0,4,2,31.3875,s,third,child,False,,southampton,yes,False
0,2,male,24.0,0,0,10.5,s,second,man,True,,southampton,no,True
0,3,female,29.69911764705882,0,0,7.55,s,third,woman,False,,southampton,no,True
0,2,male,44.0,1,0,26.0,s,second,man,True,,southampton,no,False
1,2,female,8.0,0,2,26.25,s,second,child,False,,southampton,yes,False
0,2,male,19.0,0,0,10.5,s,second,man,True,,southampton,no,True
0,2,male,33.0,0,0,12.275,s,second,man,True,,southampton,no,True
0,3,female,29.69911764705882,1,0,14.4542,c,third,woman,False,,cherbourg,no,False
0,2,male,29.0,0,0,10.5,s,second,man,True,,southampton,no,True
0,3,male,22.0,0,0,7.125,s,third,man,True,,southampton,no,True
0,3,male,30.0,0,0,7.225,c,third,man,True,,cherbourg,no,True
0,1,male,44.0,2,0,90.0,q,first,man,True,c,queenstown,no,False
0,3,female,25.0,0,0,7.775,s,third,woman,False,,southampton,no,True
1,2,female,24.0,0,2,14.5,s,second,woman,False,,southampton,yes,False
1,1,male,37.0,1,1,52.5542,s,first,man,True,d,southampton,yes,False
0,2,male,54.0,1,0,26.0,s,second,man,True,,southampton,no,False
0,3,male,29.69911764705882,0,0,7.25,s,third,man,True,,southampton,no,True
0,3,female,29.0,1,1,10.4625,s,third,woman,False,g,southampton,no,False
0,1,male,62.0,0,0,26.55,s,first,man,True,c,southampton,no,True
0,3,male,30.0,1,0,16.1,s,third,man,True,,southampton,no,False
0,3,female,41.0,0,2,20.2125,s,third,woman,False,,southampton,no,False
1,3,female,29.0,0,2,15.2458,c,third,woman,False,,cherbourg,yes,False
1,1,female,29.69911764705882,0,0,79.2,c,first,woman,False,,cherbourg,yes,True
1,1,female,30.0,0,0,86.5,s,first,woman,False,b,southampton,yes,True
1,1,female,35.0,0,0,512.3292,c,first,woman,False,,cherbourg,yes,True
1,2,female,50.0,0,1,26.0,s,second,woman,False,,southampton,yes,False
1,3,male,3.0,4,2,31.3875,s,third,child,False,,southampton,yes,False
0,1,male,52.0,1,1,79.65,s,first,man,True,e,southampton,no,False
0,1,male,40.0,0,0,0.0,s,first,man,True,b,southampton,no,True
0,3,female,29.69911764705882,0,0,7.75,q,third,woman,False,,queenstown,no,True
0,2,male,36.0,0,0,10.5,s,second,man,True,,southampton,no,True
0,3,male,16.0,4,1,39.6875,s,third,man,True,,southampton,no,False
1,3,male,25.0,1,0,7.775,s,third,man,True,,southampton,yes,False
1,1,female,58.0,0,1,153.4625,s,first,woman,False,c,southampton,yes,False
1,1,female,35.0,0,0,135.6333,s,first,woman,False,c,southampton,yes,True
0,1,male,29.69911764705882,0,0,31.0,s,first,man,True,,southampton,no,True
1,3,male,25.0,0,0,0.0,s,third,man,True,,southampton,yes,True
1,2,female,41.0,0,1,19.5,s,second,woman,False,,southampton,yes,False
0,1,male,37.0,0,1,29.7,c,first,man,True,c,cherbourg,no,False
1,1,female,63.0,1,0,77.9583,s,first,woman,False,d,southampton,yes,False
0,3,female,45.0,0,0,7.75,s,third,woman,False,,southampton,no,True
0,2,male,29.69911764705882,0,0,0.0,s,second,man,True,,southampton,no,True
0,3,male,7.0,4,1,29.125,q,third,child,False,,queenstown,no,False
1,3,female,35.0,1,1,20.25,s,third,woman,False,,southampton,yes,False
0,3,male,65.0,0,0,7.75,q,third,man,True,,queenstown,no,True
0,3,male,28.0,0,0,7.8542,s,third,man,True,,southampton,no,True
0,3,male,16.0,0,0,9.5,s,third,man,True,,southampton,no,True
1,3,male,19.0,0,0,8.05,s,third,man,True,,southampton,yes,True
0,1,male,29.69911764705882,0,0,26.0,s,first,man,True,a,southampton,no,True
0,3,male,33.0,0,0,8.6625,c,third,man,True,,cherbourg,no,True
1,3,male,30.0,0,0,9.5,s,third,man,True,,southampton,yes,True
0,3,male,22.0,0,0,7.8958,s,third,man,True,,southampton,no,True
1,2,male,42.0,0,0,13.0,s,second,man,True,,southampton,yes,True
1,3,female,22.0,0,0,7.75,q,third,woman,False,,queenstown,yes,True
1,1,female,26.0,0,0,78.85,s,first,woman,False,,southampton,yes,True
1,1,female,19.0,1,0,91.0792,c,first,woman,False,b,cherbourg,yes,False
0,2,male,36.0,0,0,12.875,c,second,man,True,d,cherbourg,no,True
0,3,female,24.0,0,0,8.85,s,third,woman,False,,southampton,no,True
0,3,male,24.0,0,0,7.8958,s,third,man,True,,southampton,no,True
0,3,male,23.5,0,0,7.2292,c,third,man,True,,cherbourg,no,True
0,1,female,2.0,1,2,151.55,s,first,child,False,c,southampton,no,False
1,1,male,29.69911764705882,0,0,30.5,s,first,man,True,c,southampton,yes,True
1,1,female,50.0,0,1,247.5208,c,first,woman,False,b,cherbourg,yes,False
1,3,male,29.69911764705882,2,0,23.25,q,third,man,True,,queenstown,yes,False
0,3,male,19.0,0,0,0.0,s,third,man,True,,southampton,no,True
1,2,female,29.69911764705882,0,0,12.35,q,second,woman,False,e,queenstown,yes,True
1,1,male,0.92,1,2,151.55,s,first,child,False,c,southampton,yes,False
1,1,female,29.69911764705882,0,0,110.8833,c,first,woman,False,,cherbourg,yes,True
1,1,female,17.0,1,0,108.9,c,first,woman,False,c,cherbourg,yes,False
0,2,male,30.0,1,0,24.0,c,second,man,True,,cherbourg,no,False
1,1,female,30.0,0,0,56.9292,c,first,woman,False,e,cherbourg,yes,True
1,1,female,24.0,0,0,83.1583,c,first,woman,False,c,cherbourg,yes,True
1,1,female,18.0,2,2,262.375,c,first,woman,False,b,cherbourg,yes,False
0,2,female,26.0,1,1,26.0,s,second,woman,False,,southampton,no,False
0,2,male,43.0,1,1,26.25,s,second,man,True,,southampton,no,False
1,3,female,26.0,0,0,7.8542,s,third,woman,False,,southampton,yes,True
1,2,female,24.0,1,0,26.0,s,second,woman,False,,southampton,yes,False
0,2,male,54.0,0,0,14.0,s,second,man,True,,southampton,no,True
1,1,female,31.0,0,2,164.8667,s,first,woman,False,c,southampton,yes,False
1,1,female,40.0,1,1,134.5,c,first,woman,False,e,cherbourg,yes,False
0,3,male,27.0,0,0,7.8958,s,third,man,True,,southampton,no,True
1,2,female,30.0,0,0,12.35,q,second,woman,False,,queenstown,yes,True
1,2,female,22.0,1,1,29.0,s,second,woman,False,,southampton,yes,False
1,1,female,36.0,0,0,135.6333,c,first,woman,False,c,cherbourg,yes,True
0,3,male,61.0,0,0,6.2375,s,third,man,True,,southampton,no,True
1,2,female,36.0,0,0,13.0,s,second,woman,False,d,southampton,yes,True
1,3,female,31.0,1,1,20.525,s,third,woman,False,,southampton,yes,False
1,1,female,16.0,0,1,57.9792,c,first,woman,False,b,cherbourg,yes,False
1,3,female,29.69911764705882,2,0,23.25,q,third,woman,False,,queenstown,yes,False
0,1,male,45.5,0,0,28.5,s,first,man,True,c,southampton,no,True
0,1,male,38.0,0,1,153.4625,s,first,man,True,c,southampton,no,False
0,3,male,16.0,2,0,18.0,s,third,man,True,,southampton,no,False
1,1,female,29.69911764705882,1,0,133.65,s,first,woman,False,,southampton,yes,False
0,1,male,29.0,1,0,66.6,s,first,man,True,c,southampton,no,False
1,1,female,41.0,0,0,134.5,c,first,woman,False,e,cherbourg,yes,True
1,3,male,45.0,0,0,8.05,s,third,man,True,,southampton,yes,True
0,1,male,45.0,0,0,35.5,s,first,man,True,,southampton,no,True
1,2,male,2.0,1,1,26.0,s,second,child,False,f,southampton,yes,False
1,1,female,24.0,3,2,263.0,s,first,woman,False,c,southampton,yes,False
0,2,male,28.0,0,0,13.0,s,second,man,True,,southampton,no,True
0,2,male,36.0,0,0,13.0,s,second,man,True,,southampton,no,True
1,2,female,24.0,0,0,13.0,s,second,woman,False,f,southampton,yes,True
1,2,female,40.0,0,0,13.0,s,second,woman,False,,southampton,yes,True
1,3,female,29.69911764705882,1,0,16.1,s,third,woman,False,,southampton,yes,False
1,3,male,3.0,1,1,15.9,s,third,child,False,,southampton,yes,False
0,3,male,42.0,0,0,8.6625,s,third,man,True,,southampton,no,True
0,3,male,23.0,0,0,9.225,s,third,man,True,,southampton,no,True
0,1,male,29.69911764705882,0,0,35.0,s,first,man,True,c,southampton,no,True
0,3,male,15.0,1,1,7.2292,c,third,child,False,,cherbourg,no,False
0,3,male,25.0,1,0,17.8,s,third,man,True,,southampton,no,False
1,1,female,22.0,0,1,55.0,s,first,woman,False,e,southampton,yes,False
0,2,female,38.0,0,0,13.0,s,second,woman,False,,southampton,no,True
0,3,male,40.0,1,4,27.9,s,third,man,True,,southampton,no,False
0,2,male,29.0,1,0,27.7208,c,second,man,True,,cherbourg,no,False
0,3,female,45.0,0,1,14.4542,c,third,woman,False,,cherbourg,no,False
0,3,male,35.0,0,0,7.05,s,third,man,True,,southampton,no,True
0,3,male,30.0,0,0,7.25,s,third,man,True,,southampton,no,True
1,1,female,60.0,1,0,75.25,c,first,woman,False,d,cherbourg,yes,False
1,3,female,29.69911764705882,0,0,7.2292,c,third,woman,False,,cherbourg,yes,True
1,1,female,24.0,0,0,69.3,c,first,woman,False,b,cherbourg,yes,True
1,1,male,25.0,1,0,55.4417,c,first,man,True,e,cherbourg,yes,False
0,3,male,18.0,1,0,6.4958,s,third,man,True,,southampton,no,False
0,3,male,19.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,1,male,22.0,0,0,135.6333,c,first,man,True,,cherbourg,no,True
0,3,female,3.0,3,1,21.075,s,third,child,False,,southampton,no,False
1,1,female,29.69911764705882,1,0,82.1708,c,first,woman,False,,cherbourg,yes,False
1,3,female,22.0,0,0,7.25,s,third,woman,False,,southampton,yes,True
0,1,male,27.0,0,2,211.5,c,first,man,True,c,cherbourg,no,False
0,3,male,20.0,0,0,4.0125,c,third,man,True,,cherbourg,no,True
0,3,male,19.0,0,0,7.775,s,third,man,True,,southampton,no,True
1,1,female,42.0,0,0,227.525,c,first,woman,False,,cherbourg,yes,True
1,3,female,1.0,0,2,15.7417,c,third,child,False,,cherbourg,yes,False
0,3,male,32.0,0,0,7.925,s,third,man,True,,southampton,no,True
1,1,female,35.0,1,0,52.0,s,first,woman,False,,southampton,yes,False
0,2,male,18.0,0,0,73.5,s,second,man,True,,southampton,no,True
0,3,male,1.0,5,2,46.9,s,third,child,False,,southampton,no,False
1,2,female,36.0,0,0,13.0,s,second,woman,False,,southampton,yes,True
0,3,male,29.69911764705882,0,0,7.7292,q,third,man,True,,queenstown,no,True
1,2,female,17.0,0,0,12.0,c,second,woman,False,,cherbourg,yes,True
1,1,male,36.0,1,2,120.0,s,first,man,True,b,southampton,yes,False
1,3,male,21.0,0,0,7.7958,s,third,man,True,,southampton,yes,True
0,3,male,28.0,2,0,7.925,s,third,man,True,,southampton,no,False
1,1,female,23.0,1,0,113.275,c,first,woman,False,d,cherbourg,yes,False
1,3,female,24.0,0,2,16.7,s,third,woman,False,g,southampton,yes,False
0,3,male,22.0,0,0,7.7958,s,third,man,True,,southampton,no,True
0,3,female,31.0,0,0,7.8542,s,third,woman,False,,southampton,no,True
0,2,male,46.0,0,0,26.0,s,second,man,True,,southampton,no,True
0,2,male,23.0,0,0,10.5,s,second,man,True,,southampton,no,True
1,2,female,28.0,0,0,12.65,s,second,woman,False,,southampton,yes,True
1,3,male,39.0,0,0,7.925,s,third,man,True,,southampton,yes,True
0,3,male,26.0,0,0,8.05,s,third,man,True,,southampton,no,True
0,3,female,21.0,1,0,9.825,s,third,woman,False,,southampton,no,False
0,3,male,28.0,1,0,15.85,s,third,man,True,,southampton,no,False
